Name,Price,Discount,image Link
Ritebrand Spaghetti 500g,R14.99,R14.99,https://www.shoprite.co.za/medias/lqi-10139337EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNTMxfGltYWdlL3BuZ3xpbWFnZXMvaDAyL2hlZi8xMDQyNTY2ODUzNDMwMi5wbmd8YjUyYzZkODlhY2EyNjIzNDMxNmNmYzEyZjU1YTY3NzU5M2IyOGJjMDhiZmZkNzkzYmY3YWUxMzU2N2NlYmI5Ng
Anchor Instant Yeast 10g,R5.49,R5.49,https://www.shoprite.co.za/medias/lqi-10143785EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyODcwfGltYWdlL3BuZ3xpbWFnZXMvaGM0L2hkZi85MDgyMDU2NzM2Nzk4LnBuZ3w4YmNlNjQwZTVlNGFhMzJkMDVlYjZmZGViMzM5NTE3ZjBkZmU2ZTU5ZjBhNzYxODM1NjUyMDA5YWEzZTRkZWI4
Darling Amasi Maas Bottle 2L,R29.99,R29.99,https://www.shoprite.co.za/medias/lqi-10131335EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNjkxfGltYWdlL3BuZ3xpbWFnZXMvaDQwL2hjNy85OTEwNTcxMjA0NjM4LnBuZ3w0MzQ1ZWU2NDMwYzJkZmE1YmY3YTRlZjkxZGEwY2JkZTBlNDY3ZTA5ZWMwZDk3ZTM5ZTdkZmM4YjRhM2NmNTVm
Carrots Bag 1kg,R16.99,R16.99,https://www.shoprite.co.za/medias/lqi-10152390EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNDMwfGltYWdlL3BuZ3xpbWFnZXMvaDgxL2gzMi85MTAwNzg4MDcyNDc4LnBuZ3w2YjFhYzhmNTViMjUyMGViOTdiNmJmMzQzYTMwYjllZmU3ZThjY2RlYzk0NjUwNjZiNjcwNzgzNmU2MTYzODdh
Ritebrand Smooth Peanut Butter 400g,R33.99,R33.99,https://www.shoprite.co.za/medias/lqi-10125075EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjQyfGltYWdlL3BuZ3xpbWFnZXMvaDA0L2g5MC85MTAwMzg3Mjg3MDcwLnBuZ3wxNjU4ZTA0ZjQyNmY3ZjRhYzk3MWJmZDJlY2I3NGEyYzM4NGE3MTA1MjA5OWU0NDlhODdmOTljMzFhNWYyYTRj
Spekko Long Grain Parboiled White Rice 10kg,R169.99,R169.99,https://www.shoprite.co.za/medias/lqi-10125603EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNzgwfGltYWdlL3BuZ3xpbWFnZXMvaDliL2hlZS85MDk3ODIwMjA5MTgyLnBuZ3wwYWIxM2UxNjNlNTk4NmNjZmUxZDdjNTNiZjMwYmEzNjc2M2MwNDA2OWI2OGU0NjI2NWRkNDdiOTIxMzQ3ZmJh
Ellis Brown Coffee Creamer 750g,R48.99,R48.99,https://www.shoprite.co.za/medias/lqi-10700476EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNzM1fGltYWdlL3BuZ3xpbWFnZXMvaGNhL2hjZi85MDk0OTg1MDg5MDU0LnBuZ3w5MTRhYTRjNGYwYTcyYmQxNmIzMTBjNGMyZDA3MmZiYTEwNDA2NzcxMjM5MDQ3OTk2NzliNjYzMDlkZmE5ZjI1
Sunlight Mild & Gentle Laundry Soap Bar 500g,R19.99,R19.99,https://www.shoprite.co.za/medias/lqi-10126907EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxOTQyfGltYWdlL3BuZ3xpbWFnZXMvaDFmL2gxMi85NzY1ODMwNTkwNDk0LnBuZ3w0YTM5OWY0NmUxODFjZDRlNWU2ZWJmYTRiYjY5Yzc3NjMxN2IyZmQ4YzRlY2MzZmU0OGQ2MTU1MjY1MjBhZTI0
Lion Red Speckled Sugar Beans 500g,R18.99,R18.99,https://www.shoprite.co.za/medias/lqi-10130017EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjc2fGltYWdlL3BuZ3xpbWFnZXMvaDAyL2hiZi85MDg3NTgxMDkzOTE4LnBuZ3xmYzdmYmIwNDg1YjVhMGEzMGJkYzk0ZDRkZjBkZGU0YjdmNWY0MjU0ZWM0ZjFiOTgzMDdmNTllYjM3MzdlM2U4
Nescafé Soluble Chicory & Coffee Granules 600g,R89.99,R89.99,https://www.shoprite.co.za/medias/lqi-10797348EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMTA5fGltYWdlL3BuZ3xpbWFnZXMvaGJlL2hiOC8xMDEwNTYzODYxNzExOC5wbmd8YTIzZGQzZWU4MTJmZmVlZmEzZmM5NDY4OTFiOTBlYjg3YTFkMzU0OTg1ZmIyYzQ1MDNlYjQyNjJmZTIwOWVhYw
Selati Golden Brown Sugar Bag 2kg,R36.99,R36.99,https://www.shoprite.co.za/medias/lqi-10156064EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjE4fGltYWdlL3BuZ3xpbWFnZXMvaDRhL2hhYy85ODg1NjAwMDg4MDk0LnBuZ3w3MzI1MTY4ZDcwM2Y3MDIwMjQzMDgyNmFmMWI4MzM1ODQ0Y2ViODJhMDkzMjBlNjI1YTIyZmQ1MDNhOTAxOWI4
Fatti's & Moni's Macaroni Pasta 500g,R19.99,R19.99,https://www.shoprite.co.za/medias/lqi-10125341EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjg2fGltYWdlL3BuZ3xpbWFnZXMvaDg5L2hhNC8xMDI2OTYwMTA3MTEzNC5wbmd8MzUxNTc3ODkwYjE5NDIyYzc4MDYwYTY3MTM0Mjg1NGZhYzllNzU4ZDg2OTYyZDdjMWU0MjkxMThiZTY3YjBjZg
Crystal Valley UHT Full Cream Long Life Milk 6 x 1L,R89.99,R89.99,https://www.shoprite.co.za/medias/lqi-10156069PK1-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTA5fGltYWdlL3BuZ3xpbWFnZXMvaDVlL2g5NC8xMDQwMTQxMTI2ODYzOC5wbmd8OGFmMTlhNTljZjkzZGM5NTRhZTMwZjJhMTViZTZkMzkxM2NhMWIxNGI1ZjA0NzNjNjdkY2VlMjNhZGJmM2M5Yw
Bokomo Weet-Bix Wholegrain Wheat Biscuits 450g,R36.99,R36.99,https://www.shoprite.co.za/medias/lqi-10124343EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjY4fGltYWdlL3BuZ3xpbWFnZXMvaGJjL2g0OS85OTM5OTY5NjM4NDMwLnBuZ3w3ZWZjZjI0YjI0NjBjNTdhMmQwYTk0OTZiMDVmN2ZkMWZkNTQ3MTA0YzExYWU3MWExODAxYTM4OTg4M2RjZWVl
Nola Original Mayonnaise Jar 750g,R39.99,R39.99,https://www.shoprite.co.za/medias/lqi-10161754EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTE4fGltYWdlL3BuZ3xpbWFnZXMvaDI4L2hlYi85NzExMDcxNDI4NjM4LnBuZ3wwNmVjMmZlOTRjOGVlYWI4ZTY2MGZkODUwMzk1NGRiNTQ0NDQ5ODZjN2QwZDM5YWI2NTE1ZmZlZTBmMmU3N2Rm
Onions Bag 1kg,R29.99,R29.99,https://www.shoprite.co.za/medias/lqi-10241181EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxOTg1fGltYWdlL3BuZ3xpbWFnZXMvaGQwL2hlOC85MTAxMTQ5MzM5Njc4LnBuZ3w4NWU5YjM5NDczMTAzNTZjMGEyMDVlNTYwM2VmODc0YWEzNmM3ZWQ3ZmU4YWM3MWUwM2E5OTM4M2I5Nzc5YThm
Farmer's Choice Frozen Mixed Chicken Portions With Brine Based Mixture 5kg,R224.99,R224.99,https://www.shoprite.co.za/medias/lqi-10807061EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNzQxfGltYWdlL3BuZ3xpbWFnZXMvaGFkL2gwOC8xMDQyNTA5MjQwNzMyNi5wbmd8YTIwM2FkZGQwY2NkMjc1ZWZmZjUyN2JiMjc5ODdkZTMyODcxZWZkNjVmMWYzNzhhNTM1OGZiNDAwNDI4NmVhOA
Super White Super Maize Meal 10kg,R99.99,R99.99,https://www.shoprite.co.za/medias/lqi-10344688EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjQyfGltYWdlL3BuZ3xpbWFnZXMvaGU1L2hiMy8xMDMzMjU0Mzk0MjY4Ni5wbmd8YjFmYzY0MmUxMzllMzY4OWUxOTE0NmYxYThmZDVlM2MxZDY1M2FhNmMwOWU0M2UyNTUwODhjOWNjNTUxM2E4Mg
Sunfoil Pure Sunflower Seed Oil 750ml,R38.99,R38.99,https://www.shoprite.co.za/medias/lqi-10130356EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNjQ4fGltYWdlL3BuZ3xpbWFnZXMvaDI0L2hlNi8xMDI0ODU4Njk4NTUwMi5wbmd8ZjJjNWQ2ODNlYjM3OWE1M2FmYjBlYTY3ZWU5ZjJmNjgzNTA3ZmU3NmY4MTY3NDMzNjkyNWJkYjg1NDQyNDI0NQ
