Name,Price,Discount,image Link
Freshpak Rooibos Tagless Tea Bags 80 Pack,R47.99,Smart Price: R37.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hf5/h7b/11120804200478/silo-product-image-v2-16Mar2023-181111-6009702443768-Straight_on-116191-2213_300Wx300H
Brookes Oros 2L,R42.99,Smart Price: R37.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h00/hb7/11120266641438/silo-product-image-v2-16Mar2023-180749-6001324011172-Straight_on-113824-1341_300Wx300H
JC Le Roux Le Domaine W6 750ml,R95.00,Smart Price: R80.00,https://cdn-prd-02.pnp.co.za/sys-master/images/hb1/h4c/10971148877854/silo-product-image-v2-05Oct2022-180132-6001497112010-Straight_on-60992-1644_300Wx300H
Pampers Baby Dry Size 4+ Jumbo Pack 62 Nappies,R289.99,Smart Price: R249.00,https://cdn-prd-02.pnp.co.za/sys-master/images/h08/hd4/11127893917726/silo-product-image-v2-16Mar2023-185812-4015400264774-Straight_on-88614-13632_300Wx300H
Rotatrim A4 White Paper 500 Sheets x 5,R399.99,Smart Price: R379.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hd3/h12/11126605545502/silo-product-image-v2-16Mar2023-185026-6003977000206-Straight_on-106989-11597_300Wx300H
Hth Granular Mineral Soft 8kg,R439.99,Smart Price: R399.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hf5/h26/10989791150110/silo-product-image-v2-21Oct2022-180308-6001385000603-Straight_on-65226-2015_300Wx300H
Aim 2L Glass Kettle,R429.99,Smart Price: R359.00,https://cdn-prd-02.pnp.co.za/sys-master/images/h60/h8e/10951159513118/silo-product-image-v2-14Sep2022-180126-6001000539754-Straight_on-56674-269_300Wx300H
PnP Double Cream Plain Yoghurt 1kg,R34.99,Smart Price: R32.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h59/h4c/11037940285470/silo-product-image-v2-03Dec2022-180101-6001007304201-Straight_on-78397-1561_300Wx300H
Ladismith Cheddar Cheese 800g,R126.99,Smart Price: R94.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hff/haf/10855538229278/silo-product-image-v2-31May2022-180152-6009646990694-Straight_on-37813-28591_300Wx300H
Goldair 5L Air Fryer,"R1,299.00",Smart Price: R999.00,https://cdn-prd-02.pnp.co.za/sys-master/images/h66/h56/11018107256862/silo-product-image-v2-17Nov2022-180133-6001889059473-Straight_on-73766-1733_300Wx300H
Hth Granular Mineral Soft 8kg,R439.99,Smart Price: R399.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hf5/h26/10989791150110/silo-product-image-v2-21Oct2022-180308-6001385000603-Straight_on-65226-2015_300Wx300H
