Name,Price,Discount
 Still Natural Spring Water 4 x 5 L,R 99.99,
 Quinine and Citrus Flavoured Sparkling Tonic Water Can 200 ml,R 13.99,
 100 % Apple Juice 1.5 L,R 62.99,Buy any 2 for R98 Fresh juice 1.5L
 100 % Apple Juice 500 ml,R 28.99,
 100% Cranberry Fruit Juice Blend 1.5 L,R 62.99,
 100% Cranberry Fruit Juice Blend 500 ml,R 28.99,
 100 % Fruit Cocktail Fruit Juice Blend 1.5 L,R 62.99,Buy any 2 for R98 Fresh juice 1.5L
 100 % Fruit Cocktail Fruit Juice Blend 500 ml,R 28.99,
 100 % Granadilla Fruit Juice Blend 1.5 L,R 62.99,Buy any 2 for R98 Fresh juice 1.5L
 100% Guava Fruit Juice Blend 1.5 L,R 62.99,Buy any 2 for R98 Fresh juice 1.5L
 100% Guava Fruit Juice Blend 500 ml,R 28.99,
 100% Mango Fruit Juice Blend 1.5 L,R 62.99,Buy any 2 for R98 Fresh juice 1.5L
 100% Mango Fruit Juice Blend 500 ml,R 28.99,
 100% Orange Juice 1.5 L,R 62.99,Buy any 2 for R98 Fresh juice 1.5L
 100% Orange Juice 3 L,R 97.99,
 100% Orange Juice 500 ml,R 28.99,
 Still Lemonade 300 ml,R 18.99,
 Still Lemonade 1 L,R 36.99,
 Ginger Lemonade 300 ml,R 18.99,
 Ginger Lemonade 1 L,R 36.99,
 100% Mixed Berry Fruit Juice Blend 500 ml,R 28.99,
 100% Mixed Berry Fruit Juice Blend 1.5 L,R 62.99,Buy any 2 for R98 Fresh juice 1.5L
 Cold Pressed Green 100% Juice 250 ml,R 32.99,Buy any 2 for R50 Cold Pressed 250ml
 Cold Pressed Beetroot Bliss 100% Juice 250 ml,R 32.99,Buy any 2 for R50 Cold Pressed 250ml
 Cold Pressed Carrot 100% Juice 250 ml,R 32.99,Buy any 2 for R50 Cold Pressed 250ml
 100% Freshly Squeezed Ruby Grapefruit Juice 1 L,R 49.99,
 100% Freshly Squeezed Ruby Grapefruit Juice 300 ml,R 21.99,
 Cold Pressed Vitamin C Shot 100 ml,R 23.99,Buy any 3 for R55 Cold Pressed Juice Shots
 Cold Pressed Ginger Shot 100 ml,R 23.99,Buy any 3 for R55 Cold Pressed Juice Shots
 Cold Pressed Beetroot Bliss 100% Juice 750 ml,R 74.99,
 Cold Pressed Green 100% Juice 750 ml,R 74.99,
 Cold Pressed Carrot 100% Juice 750 ml,R 74.99,
 Cold Pressed Passion Punch 100% Juice 250 ml,R 32.99,Buy any 2 for R50 Cold Pressed 250ml
 100% Mango and Pineapple Fruit Juice Blend 500 ml,R 28.99,
 100% Mango and Pineapple Fruit Juice Blend 1.5 L,R 62.99,Buy any 2 for R98 Fresh juice 1.5L
 Appletiser 100 % Sparkling Apple Juice 275 ml,R 16.99,
 Appletiser 100 % Sparkling Apple Juice 6 x 275 ml,R 74.99,
 Appletiser 100 % Sparkling Apple Juice 750 ml,R 29.99,
 Grapetiser 100 % Sparkling Red Grape Juice 750 ml,R 29.99,
 Grapetiser 100 % Sparkling Red Grape Juice  6 x 275 ml,R 74.99,
 Grapetiser 100 % Sparkling Red Grape Juice 275 ml,R 16.99,
 Grapetiser 100 % Sparkling White Grape Juice 275 ml,R 13.49,
 Grapetiser 100 % Sparkling White Grape Juice 6 x 275 ml,R 69.99,
 100 % Red Grape Juice 1 L,R 35.99,Buy any 3 for R72 Tetra 1L
 Apple 100 % Fruit Juice 200 ml,R 10.99,
 Apple 100 % Fruit Juice 6 x 200 ml,R 59.99,Buy any 2 for R94 Tetra 200mlx6
 Apple 100 %  Fruit Juice 1 L,R 35.99,Buy any 3 for R72 Tetra 1L
 Cherry and Berry 100 % Fruit Juice Blend 1 L,R 35.99,Buy any 3 for R72 Tetra 1L
 Fruit Cocktail 100 % Fruit Juice Blend 200 ml,R 10.99,
 Fruit Cocktail 100 % Fruit Juice Blend 6 x 200 ml,R 59.99,Buy any 2 for R94 Tetra 200mlx6
 Granadilla 100 %  Fruit Juice Blend 1 L,R 35.99,Buy any 3 for R72 Tetra 1L
 Litchi 100 % Fruit Juice Blend 200 ml,R 10.99,
 Litchi 100 % Fruit Juice Blend 6 x 200 ml,R 59.99,Buy any 2 for R94 Tetra 200mlx6
 Litchi 100 % Fruit Juice Blend 1 L,R 35.99,Buy any 3 for R72 Tetra 1L
 Mango and Orange 100 % Fruit Juice Blend 200 ml,R 10.99,
 Mango and Orange 100 % Fruit Juice Blend 6 x 200 ml,R 59.99,Buy any 2 for R94 Tetra 200mlx6
 Mango and Orange 100 % Fruit Juice Blend 1 L,R 35.99,Buy any 3 for R72 Tetra 1L
 Mixed Berry 100 %  Juice Blend 1 L,R 35.99,Buy any 3 for R72 Tetra 1L
 Orange 100 % Fruit Juice Blend 1 L,R 35.99,Buy any 3 for R72 Tetra 1L
 100 % Red Grape Juice 200 ml,R 10.99,
